rating,comment,time,votes
5,漫画的优点是剧情出色，缺点是画技太烂。动画版去粕留精，在剧情忠于原著的前提下，画面质量大幅度提升，分镜魄力十足，绝对是近年来难得的动画佳作。,2013/4/7 21:39,3428
5,不翻墙就不会死，你们怎么就是不明白！,2013/9/29 20:11,1629
4,顶级的音效和BGM，强悍的分镜，冲击力更甚原作。但人物表情处理欠缺细致，某些桥段情绪用力过猛。崩坏集中在三笠上，眼瞳没有像漫画一样涂黑感觉像两个人。P.S.个人认为她是整个作品里最有魅力的角色。,2013/4/7 21:19,1214
5,4月番最期待的作品 没有之一 刚看完第一集 没有任何的失望,2013/4/7 9:28,1089
5,相对于漫画日渐崩坏的画风，动画的美工和音乐都是上乘。但漫画剧透在先，注定看不久。。。,2013/4/7 15:07,704
4,真的很华丽。剧情出色吗？嘛……我倒是觉得有点老套。,2013/4/9 14:18,566
5,主要给邪魅狂狷的一米六兵长。。。。。,2013/8/28 17:03,633
5,看到第6话左右就开始反复提醒自己，千万不要真情实感喜欢上除男女主以外的角色，都会被这个作者杀掉的！,2021/1/24 21:52,522
4,相对画风糙得令人感到难以忍受的原作而言 动画已够良心了 虽然只进行到四十多话 但漫画部分有个很显著的特点：插叙部分极多 因为故事本身也是杀戮都市或LOST这种神神叨叨阴谋论型的 不进行多次补完 无法自圆其说 无间道设置太多巨人常走形目前已失去跟连载的动力 动画制作精良加一星 没看的看动画就好,2013/4/27 13:24,433
4,出真人版的话，可以让马景涛来演男主角。,2013/9/30 13:46,351
5,真的是完爆《鬼灭之刃》,2020/12/1 0:29,400
4,很有意思的新番。但有一个细节非常不合理——这群连衣服与工具都不会造的未开化巨人们，是在哪理发的？各种三七分、锅盖头、修道士发型的巨人乱入，缺乏逻辑呀。,2013/5/13 20:36,313
5,虽然变成了民工漫，而且满地都是伪宅脑残粉、、但是反正我觉得巨人的确是神作，从开头燃到结尾啊！！制作组诚意简直要溢出来，泽野大神的BGM也是各种加分！快点出新吧～滚去补漫画～,2013/9/29 22:21,381
4,漫画特别带感，唯一的问题就是画工太烂了，我觉着能发现一个比猩猩画工烂的也挺不容易的(￣▽￣")但是动画有骨头社肯定是萌呆乃！握拳！,2013/4/7 22:54,229
