rating,comment,time,votes
5,巨人作者不是右翼！！！！！巨人也不是中国人！！！！！8102年了不会还有人相信吧！！！！！！真的不想再次看到第二季里面说因为作者的问题减一星的情况了！！！！！！！！！！,2018/7/23 8:40,3324
5,珍惜每个巨人中你喜欢的角色吧 因为下一秒他可能就便当了……,2018/7/23 11:26,2568
4,"第一季：救艾伦。
第二季：救艾伦。
第三季：救艾伦。
艾伦你到底男主还是公主！
调查兵团其实是马里奥吗原来（不",2018/9/28 10:29,1494
5,看够了各路新番菜鸡互啄，巨人真他妈好看啊,2018/8/13 23:27,1115
5,阿尔敏可以出本子了,2018/7/24 23:57,838
5,艾伦从第一季第一集要杀光所有巨人，到第三季最后一集，摸着匍匐在地艰难爬行的巨人的头，说出了「他是被送到乐园的我们的同胞」，这样复杂的心情是无数苦难堆积出来的。,2021/1/21 21:37,643
5,五星预定 前排挤一挤,2018/7/22 3:21,512
4,人物刻画是正剧动画的绝对前列。导演立功了。-0.5星是因为他妈的军事政变环节也太草率了，贫困县村支书选举都比这个流程复杂,2019/3/5 23:40,362
5,这一季总算没有拖得太久，第一集最后一分钟的强敌登场魄力十足。,2018/7/23 23:42,433
5,"中间整整跳了一本漫画的情节。
估计编剧的想法就是先把人骗进来，等你看了3集发现全是文戏也晚了，3集后打戏马上就能接上。",2018/7/23 9:21,372
5,终于知道为什么这么多人喜欢兵长了，他没有巨人之力，却有比其更坚毅的力量,2022/8/5 12:21,251
5,bgm还是一样的好听，三笠还是一样的女神，矮子兵长还是一样的高冷萌，还是一样的动不动死人。这一季看起来要讲人类内斗的政治故事啊，充满期待,2018/7/23 19:03,305
5,今天开播，满心期待，又重温了一二季，希望第三季可以更加精彩（表示没看过原作漫画，满心期待TV动画解开各种伏笔、谜团）,2018/7/22 13:44,230
5,朝闻道，夕可死矣， Erwin还没看到世界的真相就止步于在问道途中，颇有壮志未酬身先死的悲壮，梦想真的比性命更重要吗？看到第12话隔着屏幕呐喊：Leiv你快把他腿打断，留下他，不要去(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀),2018/11/8 20:57,183
5,The curse of bigness 为什么还有人纠结中日隐喻，给我任何一段诚实的历史，都能代入其中。所以萨内斯受审说“轮流吧”；所以对于始祖之力，凡受赐者上位必变心。权力是罪恶，巨大的权力是巨大的罪恶，他人是地狱，无穷的他人是无穷的地狱，自由冲击自由，枷锁折叠枷锁。人天生拥护简单叙事，世界却以复杂作为诅咒，因此残酷至极，勇猛的单兵都身不由己，高墙的背面都是镜子。玛利亚是一面哭墙，三笠、贝尔托特和埃尔文的答案惊人相似，多说无益，唯闭眼者能穿杨。伟大的作品让故事和真理密不可分，只要签收了情节就不可能拒收领悟,2021/2/16 23:34,112
4,喜欢韩吉！第二集的利威尔太太太帅了吧反复看了n遍。巨人的谜团一步步在解开了，夺回玛利亚之墙吧。感觉会损失巨大，活下来的104期都没几个人了，等明年4月！,2018/12/7 13:27,130
5,终于等到第三季，op不那么热血了，剧情依然很棒。,2018/7/23 11:51,103
5,画风没崩，剧情没崩，足够了，真的足够了～,2018/7/28 13:59,86
5,「我虽然是人类的敌人，但却是艾伦的伙伴。」,2018/10/21 22:19,53
4,墙内的人类什么时候取回被篡改的记忆，找回失去的自由。,2018/12/2 16:29,51
5,S03比前两季更加走向制度性内省 。终于知道巨人为什么在某地就禁了，国家意志对集体记忆的串改和控制，这说的妥妥的就是某地当下啊。9.3,2021/1/7 10:50,57
5,我至今见过的家伙全都一个样，有时是酒，女人或神明，家族，国王，梦想，孩子，力量。大概不找个东西沉醉就活不下去吧，所有人都是某些事物的奴隶。,2019/5/22 10:49,53
5,"从未见调查兵团如此受欢迎 也从未见过团长笑得如此灿烂 那几声吼叫 是压抑了多久的感情。
纵然知晓了往后的发生的一切 面对着此刻所有的行动  绝不后悔。
巨人的故事第一季走来 逐渐接近着世界的真相 所有人的命运也都在走向终结 但所有人在这个悲剧的故事中展现的力量 即使普通但依旧勇敢战斗的身姿 即使弱小但也坚定着自己的信念 每个人 都在为这个没救了的世界努力着。
yoshiki的red swan 没有比这更适合这一季的巨人的了。
明年4月 巨人再见。",2018/10/15 5:25,61
5,op好舒缓，兵长戏份好多哇，应该是本季主角。剧情好像峡谷急流般九转十八弯，结尾是一个分镜接一个分镜地轰炸小心脏……,2018/7/23 14:03,71
5,巨人摆脱少年漫水平的一季,2019/4/1 23:56,42
4,（８／１０）这一季的主角实际上是兵长、女王、团长这三人，小天使一直在酱油……,2018/10/16 23:43,22
5,正好刷到b站某著名L姓up主吹爆巨人的一期节目，感慨万千。13年抱着试试看的心情点开第一集，然后捧着ipad在寝室熬夜补完；大学时从俺妹入坑，一边补民工漫一边刷当季新番。明明并没有过去多少年，看着二次元越来越大众化，营销手段越来越丰富，曾被公关广告圈排斥的acg内容成了香饽饽，与之相辅相成的是内容形式化标签化和废萌化。我也从一个从里到外都想活在二次元世界的迷妹变成了一个自嘲的伪acg爱好者。而巨人从武戏到文戏，艾伦从中二病长成了深沉腹黑，依然剧情紧凑叫人牵肠挂肚。那些故事那些人曾燃起我的热血，而我能做的只有为你们的战斗献上祝福。心臓を捧げよ！,2018/10/21 21:29,67
